flight_id,airline,airline_icon,aircraft,max_capacity,tickets_sold,duration,origin,destination,departure_date,departure_time,meal_service_type,product_id,product_name,product_category,standard_quantity,quantity_served,quantity_consumed,quantity_returned,consumption_rate,unit_cost,is_reusable,service_type,standard_specification,food_waste_percentage,peak_consumption_hour,profit_margin,passenger_satisfaction
CTL395,American Airlines,🛫,Boeing 777-300ER,280,245,5.5,JFK - New York,LAX - Los Angeles,2025-10-28,14:30,Full Service,BEV001,Coca-Cola,beverage,120,115,98,17,85.2,1.5,False,retail,Premium International,14.8,16:30,133.3,4.2
CTL395,American Airlines,🛫,Boeing 777-300ER,280,245,5.5,JFK - New York,LAX - Los Angeles,2025-10-28,14:30,Full Service,BEV002,Coffee,beverage,80,85,72,13,84.7,2.5,True,pick & pack,Premium International,15.3,16:45,100.0,4.5
CTL395,American Airlines,🛫,Boeing 777-300ER,280,245,5.5,JFK - New York,LAX - Los Angeles,2025-10-28,14:30,Full Service,MEA001,Chicken Pasta,main_meal,150,145,132,13,91.0,8.5,False,pick & pack,Premium International,9.0,17:15,76.5,4.8
CTL395,American Airlines,🛫,Boeing 777-300ER,280,245,5.5,JFK - New York,LAX - Los Angeles,2025-10-28,14:30,Full Service,SNK001,Pretzels,snack,100,95,88,7,92.6,2.0,False,retail,Premium International,7.4,16:00,125.0,4.1
CTL395,American Airlines,🛫,Boeing 777-300ER,280,245,5.5,JFK - New York,LAX - Los Angeles,2025-10-28,14:30,Full Service,BEV005,Juice 200ml,beverage,60,65,58,7,89.2,1.2,False,retail,Premium International,10.8,16:30,150.0,4.3
AA1234,American Airlines,🛫,Airbus A320,180,150,3.0,DFW - Dallas,ORD - Chicago,2025-10-29,10:15,Light Meal,BEV001,Coca-Cola,beverage,80,75,68,7,90.7,1.5,False,retail,Domestic Standard,9.3,11:45,133.3,4.4
AA1234,American Airlines,🛫,Airbus A320,180,150,3.0,DFW - Dallas,ORD - Chicago,2025-10-29,10:15,Light Meal,SNK002,Chocolate Bar 50g,snack,70,65,61,4,93.8,1.8,False,retail,Domestic Standard,6.2,11:30,122.2,4.6
AA1234,American Airlines,🛫,Airbus A320,180,150,3.0,DFW - Dallas,ORD - Chicago,2025-10-29,10:15,Light Meal,BEV003,Sparkling Water 330ml,beverage,50,55,48,7,87.3,0.8,False,retail,Domestic Standard,12.7,12:00,150.0,4.0
AA1234,American Airlines,🛫,Airbus A320,180,150,3.0,DFW - Dallas,ORD - Chicago,2025-10-29,10:15,Light Meal,SNK006,Bread Roll Pack,snack,60,58,52,6,89.7,1.5,False,pick & pack,Domestic Standard,10.3,11:15,133.3,4.2
DL7890,Delta Airlines,✈️,Boeing 737-800,160,140,2.5,ATL - Atlanta,MIA - Miami,2025-10-30,08:45,Refreshment,BEV006,Herbal Tea Bag,beverage,40,45,38,7,84.4,0.4,True,pick & pack,Short Haul Basic,15.6,10:15,275.0,4.1
DL7890,Delta Airlines,✈️,Boeing 737-800,160,140,2.5,ATL - Atlanta,MIA - Miami,2025-10-30,08:45,Refreshment,SNK003,Butter Cookies 75g,snack,60,55,51,4,92.7,2.2,False,retail,Short Haul Basic,7.3,10:00,118.2,4.7
DL7890,Delta Airlines,✈️,Boeing 737-800,160,140,2.5,ATL - Atlanta,MIA - Miami,2025-10-30,08:45,Refreshment,BEV004,Still Water 500ml,beverage,70,65,59,6,90.8,0.6,False,retail,Short Haul Basic,9.2,09:45,200.0,4.3
DL7890,Delta Airlines,✈️,Boeing 737-800,160,140,2.5,ATL - Atlanta,MIA - Miami,2025-10-30,08:45,Refreshment,SNK004,Mixed Nuts 30g,snack,50,48,44,4,91.7,3.5,False,retail,Short Haul Basic,8.3,10:30,100.0,4.5
UA4567,United Airlines,✈️,Airbus A319,120,110,4.0,IAH - Houston,DEN - Denver,2025-10-31,16:20,Full Service,MEA002,Beef Panini,main_meal,70,68,62,6,91.2,7.8,False,pick & pack,Domestic Premium,8.8,18:30,79.5,4.6
UA4567,United Airlines,✈️,Airbus A319,120,110,4.0,IAH - Houston,DEN - Denver,2025-10-31,16:20,Full Service,BEV001,Coca-Cola,beverage,50,55,48,7,87.3,1.5,False,retail,Domestic Premium,12.7,18:45,133.3,4.2
UA4567,United Airlines,✈️,Airbus A319,120,110,4.0,IAH - Houston,DEN - Denver,2025-10-31,16:20,Full Service,SNK005,Snack Box Economy,snack,40,42,38,4,90.5,4.0,False,pick & pack,Domestic Premium,9.5,18:00,112.5,4.4
UA4567,United Airlines,✈️,Airbus A319,120,110,4.0,IAH - Houston,DEN - Denver,2025-10-31,16:20,Full Service,BEV002,Coffee,beverage,45,48,41,7,85.4,2.5,True,pick & pack,Domestic Premium,14.6,19:00,100.0,4.3
UA4567,United Airlines,✈️,Airbus A319,120,110,4.0,IAH - Houston,DEN - Denver,2025-10-31,16:20,Full Service,MEA004,Chicken Sandwich,main_meal,65,62,57,5,91.9,5.5,False,pick & pack,Domestic Premium,8.1,18:15,81.8,4.7
